"","Part.Number","Change","Page","FedReg_Number","Year"
"1","201.1","Revised",17231,33,"1968"
"2","201.2","(a) revised; (b) revoked",17231,33,"1968"
"3","201.101","Revoked",17231,33,"1968"
"4","201.102","Revoked",17231,33,"1968"
"5","201.103","Revoked",17231,33,"1968"
"6","201.105","Revoked",17231,33,"1968"
"7","201.106","Revoked",17231,33,"1968"
"8","201.108","Added",17231,33,"1968"
"9","204.3","(a) and (b) revised",6769,33,"1968"
"10","204.5","Revised",65,33,"1968"
"11","204.106","Revised",12302,33,"1968"
"12","206.4","Heading and (g) revised",11394,33,"1968"
"13","206.5","Heading revised; (l), (m), and (n) added",11394,33,"1968"
"14","206.47","Added",11394,33,"1968"
"15","206.51","Amended",11395,33,"1968"
"16","206.53","Added",11395,33,"1968"
"17","207","Added",2691,33,"1968"
"18","207.1","(d)(1) and (4) revised",4452,33,"1968"
"19","207.1","(a), (b), (e), (h), and (i) revised",11644,33,"1968"
"20","207.2","(g) revised",4453,33,"1968"
"21","207.2","(b), (c), and (d) revised",11645,33,"1968"
"22","207.3","Effective date of (a) deferred",6233,33,"1968"
"23","207.4","Effective date of (f) postponed",4249,33,"1968"
"24","207.4","(a)(1) revised",4453,33,"1968"
"25","207.4","(f) revised",5348,33,"1968"
"26","207.4","Effective date of revision of (f) deferred",5943,33,"1968"
"27","207.4","(f) revoked; (g) redesignated as (f) and revised",7231,33,"1968"
"28","207.4","Introductory text of (a) amended; (b) revised",11645,33,"1968"
"29","207.5","(b) revised",4457,33,"1968"
"30","207.5","Revised",8771,33,"1968"
"31","207.101","Added",4248,33,"1968"
"32","207.102","Added",7485,33,"1968"
"33","208.102","Redesignated as 250.101; revised",9866,33,"1968"
"34","208.103","Redesignated as 250.102; revised",9866,33,"1968"
"35","208.104","Redesignated as 250.103; revised",9866,33,"1968"
"36","208.105","Redesignated as 250.120; revised",9866,33,"1968"
"37","208.106","Redesignated as 250.160; revised",9866,33,"1968"
"38","208.107","Redesignated as 250.121; revised",9866,33,"1968"
"39","208.108","Redesignated as 250.161; revised",9866,33,"1968"
"40","208.109","Redesignated as 250.122; revised",9866,33,"1968"
"41","208.111","Redesignated as 250.261; revised",9866,33,"1968"
"42","208.113","Redesignated as 250.123; revised",9866,33,"1968"
"43","208.114","Redesignated as 250.181; revised",9866,33,"1968"
"44","208.115","Redesignated as 250.180; revised",9866,33,"1968"
"45","208.118","Redesignated as 250.140; revised",9866,33,"1968"
"46","208.119","Redesignated as 250.141; revised",9866,33,"1968"
"47","208.120","Redesignated as 250.142; revised",9866,33,"1968"
"48","208.121","Redesignated as 250.200; revised",9866,33,"1968"
"49","208.122","Revised",11812,33,"1968"
"50","211.8","Revised",2885,33,"1968"
"51","211.51","Added",4729,33,"1968"
"52","213.51","Added",4729,33,"1968"
"53","215.1-215.6","Recodified as 215.1-215.7; revised",2837,33,"1968"
"54","215.1-215.7","Recodified from 215.1-215.6; revised",2837,33,"1968"
"55","215.101","Revoked",3110,33,"1968"
"56","217.3","(a) revised",910,33,"1968"
"57","217.3","(a) revised; (g) added",15408,33,"1968"
"58","217.6","Revised",6233,33,"1968"
"59","217.125","Revoked",3110,33,"1968"
"60","217.127","Revoked",15408,33,"1968"
"61","217.129","Revoked",3110,33,"1968"
"62","217.130","Revoked",3110,33,"1968"
"63","217.144","Added",9015,33,"1968"
"64","217.145","Added",9873,33,"1968"
"65","218.112","Added",12886,33,"1968"
"66","218.113","Added",13001,33,"1968"
"67","220.1-220.8","Revised",2695,33,"1968"
"68","220.3","(a), (b)(1), (c)(2), (d)(3), and (g) revised",4453,33,"1968"
"69","220.4","(j)(1), (2), and (4) revised",4454,33,"1968"
"70","220.6","(k) revised",4454,33,"1968"
"71","220.7","Effective date of revision of (f) postponed",4249,33,"1968"
"72","220.7","(f) revised",5348,33,"1968"
"73","220.7","Effective date of revision of (f) deferred",5943,33,"1968"
"74","220.7","(f) revoked",7231,33,"1968"
"75","220.8","Revised",4454,33,"1968"
"76","220.8","Revised",8772,33,"1968"
"77","221","Heading revised",2702,33,"1968"
"78","221.1-221.4","Revised",2702,33,"1968"
"79","221.3","Effective date of revision of (u) postponed",4249,33,"1968"
"80","221.3","(a), (c), and (t)(1) and (4) revised",4455,33,"1968"
"81","221.3","(u) revised",5349,33,"1968"
"82","221.3","Effective date of (r) deferred",5789,33,"1968"
"83","221.3","Effective date of revision of (u) deferred",5943,33,"1968"
"84","221.3","(u) revoked; (v) redesignated as (u) and revised",7231,33,"1968"
"85","221.4","(b) and (c) revised",4455,33,"1968"
"86","221.4","Revised",8772,33,"1968"
"87","221.117","Added",7485,33,"1968"
"88","222.1-222.7","Recodified from 222.1-222.9; revised",2988,33,"1968"
"89","222.1-222.9","Recodified as 222.1-222.7; revised",2988,33,"1968"
"90","222.111","Revised",6967,33,"1968"
"91","222.114","Revoked",3110,33,"1968"
"92","224.2","Revised",5088,33,"1968"
"93","224.2","Revised",6708,33,"1968"
"94","224.2","Revised",12673,33,"1968"
"95","224.2","Revised",20034,33,"1968"
"96","224.3","Revised",5088,33,"1968"
"97","224.3","Revised",6708,33,"1968"
"98","224.3","Revised",12673,33,"1968"
"99","224.3","Revised",20035,33,"1968"
"100","224.4","Revised",5088,33,"1968"
"101","224.4","Revised",6708,33,"1968"
"102","224.4","Revised",12673,33,"1968"
"103","224.4","Revised",20035,33,"1968"
"104","250","Added; redesignated from 208.102-208.109, 208.111, 208.113-208.115, 208.118-208.121 and revised",9866,33,"1968"
"105","250.141","Revised",11813,33,"1968"
"106","262.3","(f)(1) revised",2989,33,"1968"
"107","264","Revised",8655,33,"1968"
"108","265.2","(f)(14) added",10330,33,"1968"
