"","Part","Change","Page","FedReg_Number","Year"
"1","201.51","Revised","27090",46,"1981"
"2","201.51","Amended","50782",46,"1981"
"3","201.51","Effective date corrected","55237",46,"1981"
"4","201.51","Amended","55237",46,"1981"
"5","201.51","Revised","56409",46,"1981"
"6","201.51","Amended","60190",46,"1981"
"7","201.51","Revised","61249",46,"1981"
"8","201.52","Revised","27090",46,"1981"
"9","201.52","(b) revised","48120",46,"1981"
"10","201.52","Revised","58409, 61249",46,"1981"
"11","201.53","Revised","27090",46,"1981"
"12","203","Revised","40683",46,"1981"
"13","204.2","(f)(2) revised","22178",46,"1981"
"14","204.2","(t) added","27092",46,"1981"
"15","204.2","(h) revised","32428",46,"1981"
"16","204.2","(t) footnote 1 redesignated as footnote 2","32429",46,"1981"
"17","204.3","(d)(2) revised","10140",46,"1981"
"18","204.3","(a) introductory text, (1)(ii), (2)(ii), and (c) amended","32430",46,"1981"
"19","204.4","(b)(1) introductory text and (ii), (2) introductory text and (ii), (d), and (g)(2)(ii)(A) and (B) and (iii) amended","32430",46,"1981"
"20","204.4","(e) revised; temporary","57667",46,"1981"
"21","204.4","(f) revised","57668",46,"1981"
"22","204.8","Redesignated as 204.9; new 204.8 added","32429",46,"1981"
"23","204.9","Redesignated from 204.8","32429",46,"1981"
"24","204.9","(a) revised","62054",46,"1981"
"25","204.122","Added","62812",46,"1981"
"26","205","Staff interpretationâ€”19217, 46876; Staff interpretation amended","60190",46,"1981"
"27","205.3","(d)(2) and (3) revised; footnote 1a added","2973",46,"1981"
"28","205.3","(d)(3) corrected","9920",46,"1981"
"29","205.5","Footnote 1 redesignated as footnote 1b","2973",46,"1981"
"30","206.3","Heading revised; (d) added","11238",46,"1981"
"31","206.5","(b)(5) and (e)(6) added; (a), (b) introductory text, (c)(1) introductory text, and (5), (d), (g)(1)(i) and (ii), (2)(ii) and (iii), and (3), (h)(1), (i)(3)(i), (ii), and (iii), and (6) and (k)(1) through (4) revised; (c)(2) amended","11238",46,"1981"
"32","206.5","(l) and (m) removed","11242",46,"1981"
"33","206.5","(c)(2) correctly amended; technical correction","16099",46,"1981"
"34","206.5","(d)(3) through (6) correctly added","21747",46,"1981"
"35","206.6","(j) through (u) redesignated as (k) through (v); new (j) added","11242",46,"1981"
"36","206.8","Added","11242",46,"1981"
"37","206.41","Form F-1 amended","11249",46,"1981"
"38","206.42","Form F-2 amended","11249",46,"1981"
"39","206.44","Form F-4 amended","11249",46,"1981"
"40","206.51","Heading revised; Form F-5 amended","11249",46,"1981"
"41","206.53","Form F-12 redesignated as 206.81 and revised","11250",46,"1981"
"42","206.54","Form F-13 redesignated as 206.82 and amended","11251",46,"1981"
"43","206.81","Form F-12 redesignated from 206.53 and revised","11250",46,"1981"
"44","206.82","Form F-13 redesignated from 206.54 and amended","11251",46,"1981"
"45","206.104","Added","11251",46,"1981"
"46","207","OTC margin stock list","20977, 49577",46,"1981"
"47","208.8","(f)(2) amended; (f)(4) removed","2026",46,"1981"
"48","210.2","(b) through (k) redesignated as (c) through (l) and revised; new (b) added","42059",46,"1981"
"49","211.3","(b)(2) revised","18016",46,"1981"
"50","211.5","(c)(2) amended","2027",46,"1981"
"51","211.6","(d) revised","39810",46,"1981"
"52","211.602","Interpretation","8437",46,"1981"
"53","213","Added","20951",46,"1981"
"54","213.2","(a)(17)(ii) corrected","29245",46,"1981"
"55","213.5","(b) introductory text corrected","29245",46,"1981"
"56","213","Appendixes A and B corrected; Appendix A footnotes 2 through 5 and Appendix B footnotes 6 through 10 correctly redesignated as footnotes 1 through 4 and 1 through 5","29245",46,"1981"
"57","216","Authority citation","15865, 49105",46,"1981"
"58","216.3","(c) amended","15865",46,"1981"
"59","216.4","(a) amended","15865",46,"1981"
"60","216.5","(b) removed; (c) and (d) redesignated as (b) and (c)","15865",46,"1981"
"61","216","Heading and (b) revised","49105",46,"1981"
"62","217.1","(k) added","27092",46,"1981"
"63","217.2","(a) and (b) revised; (l) added","32430",46,"1981"
"64","217.3","(l)(1) revised","55238",46,"1981"
"65","217.3","(l)(1)(ii)(C) and (2)(ii) corrected","57668",46,"1981"
"66","217.3","(f) amended","10453",46,"1981"
"67","217.3","(a) revised","62398",46,"1981"
"68","217.4","(d) revised","10453",46,"1981"
"69","217.6","(l) removed; (j) redesignated as (l)","10454",46,"1981"
"70","217.7","(c), (f), and (g) revised","10454",46,"1981"
"71","217.7","(a) revised","32430",46,"1981"
"72","217.7","(b) and (e) through (g) revised","62398",46,"1981"
"73","217.7","(i) added","62399",46,"1981"
"74","217.147","Revised","10455",46,"1981"
"75","217.149","Removed","10455",46,"1981"
"76","217.154","Removed","10455",46,"1981"
"77","217.157","Added","42062",46,"1981"
"78","217.157","Effective date suspended","44421",46,"1981"
"79","217.157","Revised","46899",46,"1981"
"80","220","OTC margin stock list","20977, 49577",46,"1981"
"81","220.4","(i) revised","49828",46,"1981"
"82","220.6","(j) removed; (k) and (l) redesignated as (j) and (k)","31250",46,"1981"
"83","220.8","(b) and (j) revised","49828",46,"1981"
"84","221","OTC margin stock list","20977, 49577",46,"1981"
"85","224","OTC margin stock list","20977, 49577",46,"1981"
"86","225.4","(a)(14) confirmed","31406",46,"1981"
"87","225.4","(a)(9) revised","38494",46,"1981"
"88","225.4","(a)(13) revised","58066",46,"1981"
"89","225.5","(c)(2) amended; (c)(4) removed","2026",46,"1981"
"90","225.128","(b), (c)(3), and (e) removed; (c), (c)(4), and (d) redesignated as new (b), (b)(3), and (c); new (b) and (c) headings amended","38495",46,"1981"
"91","226 (Reg. Z), Presimplified:","Staff interpretation corrected","1692",46,"1981"
"92","226 (Reg. Z), Presimplified:","Removed; eff. 4-1-82","20892",46,"1981"
"93","226 (Reg. Z), Presimplified:","Staff interpretations removed; eff. 4-1-82","20892",46,"1981"
"94","226 (Reg. Z), Simplified:","Revised","20892",46,"1981"
"95","226 (Reg. Z), Simplified:","Staff interpretations","50288",46,"1981"
"96","226 (Reg. Z), Simplified:","Staff interpretations amended","58644, 60190",46,"1981"
"97","226 (Reg. Z), Simplified:","Staff interpretations corrected","61067",46,"1981"
"98","226.2","(a)(17)(iii) corrected","29246",46,"1981"
"99","226.7","(d) and (j) corrected","29246",46,"1981"
"100","226.8","(a)(3) and (b) corrected","29246",46,"1981"
"101","226.9","(a)(2) corrected","29246",46,"1981"
"102","226.18","(q) corrected","29246",46,"1981"
"103","226.29","(c) corrected","29246",46,"1981"
"104","226","Appendixes A and D corrected; appendixes H and J amended","29246",46,"1981"
"105","226","Appendixes E and G amended","60190",46,"1981"
"106","262.3","(l) added","5861",46,"1981"
"107","265.2","(c)(1) revised; (f)(49) added","1663",46,"1981"
"108","265.2","(c)(27) added","2027",46,"1981"
"109","265.2","(c)(28), (f)(18)(iv) and (v), (50), (51), and (52) added; (f)(27) and (45) revised","2028",46,"1981"
"110","265.2","(c)(30) and (f)(53) added","5862",46,"1981"
"111","265.2","(c)(29) added; (f)(1) revised","5863",46,"1981"
"112","265.2","(b)(9) added","28399",46,"1981"
"113","265.2","Technical corrections","33022",46,"1981"
"114","265.2","(c)(31) added; (f)(28) revised","42442",46,"1981"
"115","265.2","(f)(54) added","51893",46,"1981"
