"Part.Number","Change","Page","FedReg_Number","Year"
"201.1","Revised","17231",33,1968
"201.101","Revoked","17231",33,1968
"201.102","Revoked","17231",33,1968
"201.103","Revoked","17231",33,1968
"201.104","Added","11949",30,1965
"201.104","Revised","4701",37,1972
"201.105","Added","1001",31,1966
"201.105","Revoked","17231",33,1968
"201.106","Added","4390",31,1966
"201.106","Revoked","17231",33,1968
"201.107","Added","5443",31,1966
"201.108","(b)(15) added","6417",34,1969
"201.108","(b)(18), (19), and (20) added","24105",37,1972
"201.108","(d) revised","1113",34,1969
"201.108","Added","17231",33,1968
"201.108","Introductory text of (b) revised; (b)(16) and (17) added","8441",36,1971
"201.109","Added","527",35,1970
"201.2","(a) revised","6417",34,1969
"201.2","(a) revised; (b) revoked","17231",33,1968
"201.2","(c) revised","18450",35,1970
"201.3","(a)(1), (b), (d), and (e) amended; (i)(2) and designation of (i)(1) deleted","6116",35,1970
"201.4","(a) revised","18450",35,1970
"201.51","Redesignated from 224.2.","19901",36,1971
"201.51","Revised","22742",36,1971
"201.51","Revised","11",37,1972
"201.52","Redesignated from 224.3","19901",36,1971
"201.52","Revised","22742",36,1971
"201.52","Revised","11",37,1972
"201.53","Redesignated from 224.4","19901",36,1971
"201.53","Revised","22742",36,1971
"201.53","Revised","11",37,1972
"204","Amended","15794",31,1966
"204.1","(b) and (f) revised","13409",34,1969
"204.1","(d) and (e) revised","15793",31,1966
"204.1","(f) amended","13524",34,1969
"204.1","(f) and (g) revised","12430",34,1969
"204.1","(f) revised","528",35,1970
"204.1","(f) through (i) redesignated as (g) through (j), respectively; new (f) added","9103",31,1966
"204.1","(i) amended","16310",31,1966
"204.106","Revised","12302",33,1968
"204.108","Added","398",29,1964
"204.109","Added","2447",29,1964
"204.11","Added","13604, 14436",29,1964
"204.11","Revoked","854",32,1967
"204.111","Added","8060",31,1966
"204.112","Added","2768",35,1970
"204.113","Added","3801",35,1970
"204.114","Added, incorrectly designated as 204.113","5081",35,1970
"204.115","Added","13512",35,1970
"204.116","Added","18957",35,1970
"204.2","(a)(2) and (3) eff. date postponed","19802",37,1972
"204.2","(a)(2) and (3) revised","12713",37,1972
"204.2","(b) and (d) amended","16310",31,1966
"204.2","(b) revised","1796",29,1964
"204.3","(a) and (b) revised","6769",33,1968
"204.3","Amended","16310",31,1966
"204.5","(a)(1)(iii) and (2)(iii) effective date statement","23249",37,1972
"204.5","(a)(1)(iii) and (2)(iii) revised","12714",37,1972
"204.5","(a)(1)(iii) and (2)(iii) revised; effective date postponed","19802",37,1972
"204.5","(c) amended","528",35,1970
"204.5","Introductory text of (a) amended; (c) added","13409",34,1969
"204.5","Introductory text of (a), (a)(1)(iii) and (2)(iii) revised, eff. Sept. 21-27, 1972","12713",37,1972
"204.5","Introductory text of (a), (a)(1)(iii) and (2)(iii) revised; effective date postponed","19802",37,1972
"204.5","Revised","9103, 11172, 15793",31,1966
"204.5","Revised","3763",32,1967
"204.5","Revised","65",33,1968
"204.5","Revised","6329",34,1969
"204.51","Amended","16310",31,1966
"204.51-204.57","Removed","12713",37,1972
"204.56","Added","6339",30,1965
"204.57","Added","14489",30,1965
"206","Added","362",30,1965
"206.101","Added","6731",30,1965
"206.102","Added","15089",30,1965
"206.103","Added","15286",30,1965
"206.2","(ff) added","17469",32,1967
"206.2","(z)(1) revised","20304",34,1969
"206.3","(b) revised","20304",34,1969
"206.4","(a) revised","6552",32,1967
"206.4","(e), (h) and (q)(1) revised","20304",34,1969
"206.4","(g)(2) revised","2862",36,1971
"206.4","Heading and (g) revised","11394",33,1968
"206.42","Revised","20307",34,1969
"206.44","Revised","20308",34,1969
"206.45","Added","15089",30,1965
"206.46","Added","6652",32,1967
"206.47","Added","11394",33,1968
"206.5","(a), (c) and (d)(1) revised; (d)(3), (4), and (5) redesignated as (4), (5), and (6), respectively, and revised; new (d)(3) added; (f)(1) through (4) revised; (f)(9) and 10 added; (h) revised; (o) added","20305",34,1969
"206.5","(d)(1) and (3) revised; (k) added","17469",32,1967
"206.5","(l)(1) revised; (1)(5), and (6) added","2862",36,1971
"206.5","Heading revised; (l), (m), and (n) added","11394",33,1968
"206.51","Amended","11395",33,1968
"206.51","Revised","20308",34,1969
"206.53","Added","11395",33,1968
"206.7","Introductory text of (c)(9) and (10), and (f)(2) revised","20306",34,1969
"206.71","Revised","20312",34,1969
"207","Added","2691",33,1968
"207","Forms adopted","12330",34,1969
"207","Heading corrected","9984",34,1969
"207","Revoked","10912",32,1967
"207.1","(a), (b), (e), (h), and (i) revised","11644",33,1968
"207.1","(d)(1) and (4) revised","4452",33,1968
"207.1","(f)(1) and (2) corrected","9984",34,1969
"207.1","(f)(3) added","7003",36,1971
"207.1","(j)(2) revised","13972",37,1972
"207.1-207.5","Revised","9191",34,1969
"207.101","Added","4248",33,1968
"207.102","Added","7485",33,1968
"207.103","(f) corrected","8351",34,1969
"207.103","Added","7005",34,1969
"207.104","Added","9121",34,1969
"207.105","Added","18242",34,1969
"207.106","Added","3280",35,1970
"207.107","Added","6959",35,1970
"207.2","(b), (c), and (d) revised","11645",33,1968
"207.2","(c)(3) and (g) corrected","9984",34,1969
"207.2","(f)(3) revised","7585",37,1972
"207.2","(g) revised","4453",33,1968
"207.2","(k) added","13972",37,1972
"207.3","(a) and (b) revised","12360",29,1964
"207.3","Effective date of (a) deferred","6233",33,1968
"207.4","(a)(1) revised","4453",33,1968
"207.4","(a)(1)(i) corrected","12255",34,1969
"207.4","(f) revised","5348",33,1968
"207.4","(f) revised","13524",34,1969
"207.4","(f) revoked; (g) redesignated as (f) and revised","7231",33,1968
"207.4","Effective date of (f) postponed","4249",33,1968
"207.4","Effective date of revision of (f) deferred","5943",33,1968
"207.4","Introductory text of (a) amended; (b) revised","11645",33,1968
"207.4","Introductory text of (a), (a)(1), and (f) corrected","9984",34,1969
"207.5","(a) and (b) revised","7376",35,1970
"207.5","(a) revised","23619",36,1971
"207.5","(b) revised","4457",33,1968
"207.5","(d)(1) corrected","9984",34,1969
"207.5","(e) added","7585",37,1972
"207.5","(f) added","13973",37,1972
"207.5","Revised","8771",33,1968
"207.9","(a) effective date statement","23249",37,1972
"207.9","(a) revised","12714",37,1972
"207.9","(a) revised; effective date postponed","19802",37,1972
"208.102","Redesignated as 250.101; revised","9866",33,1968
"208.103","Redesignated as 250.102; revised","9866",33,1968
"208.104","Redesignated as 250.103; revised","9866",33,1968
"208.105","Redesignated as 250.120; revised","9866",33,1968
"208.106","Redesignated as 250.160; revised","9866",33,1968
"208.107","Redesignated as 250.121; revised","9866",33,1968
"208.108","Added","398",29,1964
"208.108","Redesignated as 250.161; revised","9866",33,1968
"208.109","Added","6061",29,1964
"208.109","Redesignated as 250.122; revised","9866",33,1968
"208.11","Added","7816",29,1964
"208.111","Added","7817",29,1964
"208.111","Redesignated as 250.261; revised","9866",33,1968
"208.112","Added","9787",29,1964
"208.112","Revoked","854",32,1967
"208.113","Added","11177",29,1964
"208.113","Redesignated as 250.123; revised","9866",33,1968
"208.114","Added","15019",29,1964
"208.114","Redesignated as 250.181; revised","9866",33,1968
"208.115","Added","15253",29,1964
"208.115","Redesignated as 250.180; revised","9866",33,1968
"208.116","Added","3525",30,1965
"208.117","Added","14552",30,1965
"208.118","Added","7224",31,1966
"208.118","Redesignated as 250.140; revised","9866",33,1968
"208.119","(g) corrected","10356",31,1966
"208.119","Added","10021",31,1966
"208.119","Redesignated as 250.141; revised","9866",33,1968
"208.12","Added","13985",31,1966
"208.120","Redesignated as 250.142; revised","9866",33,1968
"208.121","Added","11208",32,1967
"208.121","Redesignated as 250.200; revised","9866",33,1968
"208.122","Added","11262",32,1967
"208.122","Revised","11812",33,1968
"208.9","(a)(1) and (3) revised","5928",34,1969
"208.9","(c) added","12514",31,1966
"210","Revised","10912",32,1967
"210.101","Added","2447",29,1964
"210.101","Added","19661",35,1970
"210.102","Added","2447",29,1964
"210.102","Added","19662",35,1970
"210.12","(a) effective date statement","23249",37,1972
"210.12","(a) revised","12714",37,1972
"210.12","(a) revised; effective date postponed","19802",37,1972
"210.13","Effective date statement","23249",37,1972
"210.13","Revised","12714",37,1972
"210.13","Revised; effective date postponed","19802",37,1972
"210.15","Amended","12715",37,1972
"210.15","Amended; effective date postponed","19802",37,1972
"210.15","Effective date statement","23249",37,1972
"210.2","Amended","21403",36,1971
"210.5","(a) through (i) redesignated as (b) through (j), respectively; introductory text redesignated as (a); newly redesignated (a) and (b) revised","12360",29,1964
"210.5","(c) added","13645",34,1969
"211.101","Added","14874",29,1964
"211.102","Added","14259",31,1966
"211.103","Added","6195",32,1967
"211.104","Added","9615",34,1969
"211.105","Added","17162",34,1969
"211.106","Added","16899",36,1971
"211.107","(b) corrected","1101",37,1972
"211.107","Added","776",37,1972
"211.51","Added","4729",33,1968
"211.8","(c)(2) revised","4398",32,1967
"211.8","Revised","2885",33,1968
"211.8","Revised","614",34,1969
"211.9","(b)(4)(i) revised","4394",35,1970
"211.9","(d) deleted, (g) revised; (e), (f), and (g) redesignated as (d), (c), and (f) respectively","4398",32,1967
"212","Heading revised","6644",35,1970
"212.101","Added","6644",35,1970
"212.102","Added","7726",35,1970
"213","Footnote 1 deleted","19662",35,1970
"213","Revised","4399",32,1967
"213.1","Footnote 1a redesignated footnote 1; footnote 2 deleted and new footnote 2 added","19662",35,1970
"213.101","Added","2448",29,1964
"213.101","Added","19662",35,1970
"213.102","Added","9615",34,1969
"213.103","Added","22145",36,1971
"213.4","(g) added","2854",30,1965
"213.51","Added","4729",33,1968
"213.7","(a) footnote 8 revised","6826",36,1971
"213.7","(a) revised","1040",36,1971
"213.7","Added","13409",34,1969
"213.7","Revised","18658",35,1970
"215.1","(c) revised","7584",32,1967
"215.1-215.6","Recodified as 215.1-215.7; revised","2837",33,1968
"215.1-215.7","Recodified from 215.1-215.6; revised","2837",33,1968
"215.101","Revoked","3110",33,1968
"215.103","Added","2448",29,1964
"215.104","Added","2448",29,1964
"215.105","Added","2448",29,1964
"215.106","Added","14552",30,1965
"215.107","Added","10179",31,1966
"216","Added","615",34,1969
"216","Terminated","9445",31,1966
"217","Amended","15794",31,1966
"217","Heading revised","9702",34,1969
"217.1","(d) and (e) revised","15793",31,1966
"217.1","(f) added","9103",31,1966
"217.1","(f) amended","13524",34,1969
"217.1","(f) revised","12430",34,1969
"217.1","(f) revised","528",35,1970
"217.1","(f)(3) revised","10846",35,1970
"217.1","(g) added","10022",31,1966
"217.104","Revoked","9702",34,1969
"217.121","(c) revoked","7899",34,1969
"217.125","Revoked","3110",33,1968
"217.126","Corrected","2953",35,1970
"217.126","Revised","1156",35,1970
"217.127","Revoked","15408",33,1968
"217.128","Revoked","18157, 18751",34,1969
"217.129","Revoked","3110",33,1968
"217.130","Revoked","3110",33,1968
"217.135","Added","398",29,1964
"217.136","Added","8003",29,1964
"217.137","Added","11150",29,1964
"217.137","Revised","528",35,1970
"217.138","Added","13604",29,1964
"217.138","Revoked","854",32,1967
"217.139","Added","16317",29,1964
"217.14","Added","5574",30,1965
"217.141","Added","10315",31,1966
"217.142","Added","2428",32,1967
"217.142","Revoked","1157",35,1970
"217.143","Added","2428",32,1967
"217.143","Revoked","1157",35,1970
"217.144","Added","9015",33,1968
"217.145","Added","9873",33,1968
"217.145","Revoked","9702",34,1969
"217.146","Added","2768",35,1970
"217.147","Added","3751",35,1970
"217.148","Added","3751",35,1970
"217.149","Added","5081",35,1970
"217.15","Added","11780",35,1970
"217.151","Added","19663",35,1970
"217.2","Revised","16311",31,1966
"217.3","(a) revised","9978",30,1965
"217.3","(a) revised","910",33,1968
"217.3","(a) revised; (g) added","15408",33,1968
"217.3","(e) revised","19662",35,1970
"217.3","(g) revised","18157",34,1969
"217.3","(g) revised","878",35,1970
"217.3","Amended","16311",31,1966
"217.3","Heading, (a), and (e) revised; (g) amended","9702",34,1969
"217.5","Revised","15794",31,1966
"217.6","(b) revised","19662",35,1970
"217.6","Added","9702",34,1969
"217.6","Redesignated as 217.7; closing paragraph revoked","9702",34,1969
"217.6","Revised","15944",29,1964
"217.6","Revised","15286",30,1965
"217.6","Revised","10022, 12676",31,1966
"217.6","Revised","6233",33,1968
"217.7","(a)(1) revised","10501",35,1970
"217.7","(b) revised","4286",35,1970
"217.7","Redesignated from 217.6; closing paragraph revoked","9702",34,1969
"217.7","Revised","1156",35,1970
"218.108","Added","5315",29,1964
"218.109","Added","16065",29,1964
"218.11","Added","7743",30,1965
"218.111","Added","12836",30,1965
"218.112","Added","12886",33,1968
"218.113","Added","13001",33,1968
"218.114","Added","57",34,1969
"218.2","Revised","14639",30,1965
"218.2","Revised","1175, 5482, 9976",31,1966
"218.2","Revised","18417",34,1969
"219.101","Corrected","6535",29,1964
"219.103","Added","5225",29,1964
"219.104","Added","15389",32,1967
"220","Forms adopted","12330",34,1969
"220","Heading corrected","9984",34,1969
"220","Suspended in part","12132",34,1969
"220.1-220.8","Revised","2695",33,1968
"220.1-220.8","Revised","9196",34,1969
"220.121","Added","7169",31,1966
"220.122","Added","3280",35,1970
"220.123","Added","2777",36,1971
"220.124","Added","6568",37,1972
"220.125","Added","6831",37,1972
"220.2","(e)(1) corrected","9984",34,1969
"220.2","(e)(2) and (e)(3)(ii) amended","13972",37,1972
"220.2","(e)(3) revised","7585",37,1972
"220.3","(a), (b)(1), (c)(2), (d)(3), and (g) revised","4453",33,1968
"220.3","(a), (b)(1), introductory text of (d) and (d)(3), and (g) revised","13972",37,1972
"220.3","(c)(2) corrected","9984",34,1969
"220.3","(g)(2) revised","15378",37,1972
"220.3","Heading and (a) corrected","14871",37,1972
"220.3","Suspended in part","5173",35,1970
"220.4","(c)(3) revised","5826",30,1965
"220.4","(d) revised","7249",35,1970
"220.4","(g) revised","18711",37,1972
"220.4","(j)(1), (2), and (4) revised","4454",33,1968
"220.4","(j)(4) revised; (j)(5) added","13973",37,1972
"220.4","(k) corrected","9984",34,1969
"220.4","(k) revised","15421",37,1972
"220.4","Suspended in part","5173",35,1970
"220.6","(k) revised","4454",33,1968
"220.7","(f) added","6117",35,1970
"220.7","(f) revised","5348",33,1968
"220.7","(f) revoked","7231",33,1968
"220.7","Effective date of revision of (f) deferred","5943",33,1968
"220.7","Effective date of revision of (f) postponed","4249",33,1968
"220.8","(a)(1) and (d) revised","15338",37,1972
"220.8","(a)(1), (c), and (d) revised","7376",35,1970
"220.8","(g) and (h) redesignated (h) and (i); new (g) added","13973",37,1972
"220.8","(h) added","7585",37,1972
"220.8","(h)(1) corrected","14871",37,1972
"220.8","Introductory text of (a) and (a)(1), and (d) revised","23619",36,1971
"220.8","Revised","4454, 8772",33,1968
"221","Forms adopted","12330",34,1969
"221","Heading corrected","9984",34,1969
"221","Heading revised","2702",33,1968
"221.1","(a)(2) corrected","9984",34,1969
"221.1","(c) revised","13974",37,1972
"221.1-221.4","Revised","2702",33,1968
"221.1-221.4","Revised","9204",34,1969
"221.115","Added","3812",30,1965
"221.116","Added","8357",32,1967
"221.117","Added","7485",33,1968
"221.118","Added","7005",34,1969
"221.119","Added","6959",35,1970
"221.120","Added","25150",36,1971
"221.121","(c) corrected","26315",37,1972
"221.121","Added","24105",37,1972
"221.2","(j) revised","7250",35,1970
"221.2","(j), (k) and (l) amended; (m) added","7733",36,1971
"221.2","(k) amended; (l) added","7003",36,1971
"221.2","(m) revised","13203",36,1971
"221.3","(a) amended; (z)(2)(ii) corrected","20533",37,1972
"221.3","(a) corrected","9703",34,1969
"221.3","(a), (c), and (t)(1) and (4) revised","4455",33,1968
"221.3","(a), (o), and (w)(1) revised; (i) and (z) added","18711",37,1972
"221.3","(d)(3) revised","7585",37,1972
"221.3","(u) revised","5349",33,1968
"221.3","(u) revoked; (v) redesignated as (u) and revised","7231",33,1968
"221.3","(w)(2) and (x) corrected","9984",34,1969
"221.3","(x) revised","13525",34,1969
"221.3","Effective date of (r) deferred","5789",33,1968
"221.3","Effective date of revision of (u) deferred","5943",33,1968
"221.3","Effective date of revision of (u) postponed","4249",33,1968
"221.4","(a) and (b) revised","7377",35,1970
"221.4","(a) revised","23619",36,1971
"221.4","(a) revised","25338",37,1972
"221.4","(b) and (c) revised","4455",33,1968
"221.4","(e) added","7586",37,1972
"221.4","(e)(1) corrected","14871",37,1972
"221.4","(f) added","13974",37,1972
"221.4","Footnote 9 redesignated footnote 12","18713",37,1972
"221.4","Revised","8772",33,1968
"221.51","Deleted","5443",31,1966
"222","Forms adopted","3813",32,1967
"222","Redesignated as Part 225","21666",36,1971
"222.1-222.7","Recodified from 222.1-222.9; revised","2988",33,1968
"222.1-222.9","Recodified as 222.1-222.7; revised","2988",33,1968
"222.105","Revoked","854",32,1967
"222.106","Revoked","854",32,1967
"222.108","Revoked","854",32,1967
"222.11","Revoked","854",32,1967
"222.111","Revised","6967",33,1968
"222.114","Revoked","3110",33,1968
"222.116","Revoked","854",32,1967
"222.117","Added","5161",29,1964
"222.117","Revoked","854",32,1967
"222.118","Added","12361",29,1964
"222.119","Added","14273",30,1965
"222.119","Revoked","854",32,1967
"222.12","Added","4277",31,1966
"222.12","Revoked","854",32,1967
"222.121","Added","10263",31,1966
"222.122","Added","15004",32,1967
"222.122","Footnote 1 revised","19662",35,1970
"222.123","(g) added","11806",36,1971
"222.123","Added","10778",36,1971
"222.2","Revised","18945",36,1971
"222.3","(b) amended","18785",36,1971
"222.3","(b) revised","17329",36,1971
"222.4","Amended","6413",36,1971
"222.4","Heading revised; (d) added","5581",36,1971
"222.5","(a) amended; (a)(8) added","11806",36,1971
"222.5","(a) amended; (a)(9) added","15526",36,1971
"222.5","(a), (b), and (c) revised","10777",36,1971
"222.5","(b)(3) added","17329",36,1971
"222.5","(d) amended","12896",36,1971
"222.5","(f) added","18947",36,1971
"222.5","Heading revised; (e) added","9292",36,1971
"222.5-222.7","Redesignated as 225.5 and revised","21666",36,1971
"224","Removed","19901",36,1971
"224.1","Removed","19901",36,1971
"224.2","Amended","4538",36,1971
"224.2","Corrected","14382",36,1971
"224.2","Redesignated as 201.51","19901",36,1971
"224.2","Revised","16855",29,1964
"224.2","Revised","15735",30,1965
"224.2","Revised","6195, 17425",32,1967
"224.2","Revised","5088, 6708, 12673, 20034",33,1968
"224.2","Revised","6472",34,1969
"224.2","Revised","18369, 19570",35,1970
"224.2","Revised","973, 2477, 3461, 14179",36,1971
"224.3","Amended","4538",36,1971
"224.3","Redesignated as 210.52","19901",36,1971
"224.3","Revised","16855",29,1964
"224.3","Revised","15735",30,1965
"224.3","Revised","6195, 17425",32,1967
"224.3","Revised","5088, 6708, 12673, 20035",33,1968
"224.3","Revised","6472",34,1969
"224.3","Revised","18369, 19570",35,1970
"224.3","Revised","973, 2477, 3461, 14197",36,1971
"224.4","Amended","4538",36,1971
"224.4","Corrected","14382",36,1971
"224.4","Redesignated as 201.53","19901",36,1971
"224.4","Revised","16855",29,1964
"224.4","Revised","15735",30,1965
"224.4","Revised","6195, 17425",32,1967
"224.4","Revised","5088, 6708, 12673, 20035",33,1968
"224.4","Revised","6472",34,1969
"224.4","Revised","5005, 18369, 19570",35,1970
"224.4","Revised","973, 2477, 3462, 14179",36,1971
"224.7","Removed","19901",36,1971
"225","Added; redesignated from Part 222","21666",36,1971
"225.123","(e) removed","11316",37,1972
"225.123","Technical correction","11557",37,1972
"225.124","Added","21808",36,1971
"225.125","Added","1464",37,1972
"225.126","(h) corrected","21938",37,1972
"225.126","Added","9022",37,1972
"225.126","Revised","20329",37,1972
"225.127","Added","11316",37,1972
"225.127","Correction","13336",37,1972
"225.128","Added","18520",37,1972
"225.4","(g) added","21807",36,1971
"225.4","Amended","28047",37,1972
"225.4","CFR corrected","13084",37,1972
"225.4","Introductory text of (a) amended; (a)(5) and footnote revised","1463",37,1972
"225.4","Introductory text of (a) amended; (a)(5) revised; (b) and (d) footnotes amended","11711",37,1972
"225.5","Redesignated from 222.5-222.7","21666",36,1971
"226","Added","2002",34,1969
"226","Supplement I added by reference","2017",34,1969
"226","Supplement II added by reference","12330",34,1969
"226","Supplement III added by reference","5215",35,1970
"226","Supplement III amended","7550, 10358, 11992",35,1970
"226","Supplement IV added by reference","1041",36,1971
"226.1","(e) added","4113",36,1971
"226.1","Revised","1040",36,1971
"226.1001","Added","7571",34,1969
"226.1002","Added","7572",34,1969
"226.101","Added","6417",34,1969
"226.101","Redesignated as 226.501","7571",34,1969
"226.102","Added","6417",34,1969
"226.102","Redesignated as 226.601","7571",34,1969
"226.103","Added","6417",34,1969
"226.103","Redesignated as 226.602","7571",34,1969
"226.104","Added","6417",34,1969
"226.104","Redesignated as 226.603","7571",34,1969
"226.105","Added","6417",34,1969
"226.105","Redesignated as 226.701","7571",34,1969
"226.12","(f) added","24105",37,1972
"226.12","Revised","5214",35,1970
"226.12","Revised","1040",36,1971
"226.13","(a)(4), (b), and (c) revised","24338",37,1972
"226.13","Added","1041",36,1971
"226.2","(d) and (k) corrected","5327",34,1969
"226.201","Added","7607",34,1969
"226.202","Added","8698",34,1969
"226.203","Added","8698",34,1969
"226.301","Added","8698",34,1969
"226.302","Added","2865",35,1970
"226.401","Added","7571",34,1969
"226.402","Added","7608",34,1969
"226.403","Added","8699",34,1969
"226.404","Added","13301",34,1969
"226.404","Revised","2865",35,1970
"226.405","Added","13301",34,1969
"226.405","Revised","14516",34,1969
"226.406","Added","17029",35,1970
"226.407","Added","16050",36,1971
"226.5","(a)(3) revised, eff. June 1, 1973","24337",37,1972
"226.5","(a)(3)(ii) corrected","25485",37,1972
"226.501","Redesignated from 226.101","7571",34,1969
"226.502","Added","8698",34,1969
"226.503","Added","9615",34,1969
"226.504","Added","14516",34,1969
"226.505","Added","14516",34,1969
"226.6","(l) added","22809",36,1971
"226.601","Redesignated from 226.102","7571",34,1969
"226.602","Redesignated from 226.103","7571",34,1969
"226.603","Redesignated from 226.104","7571",34,1969
"226.604","Added","7571",34,1969
"226.605","Added","11083",34,1969
"226.7","(a)(4), (b)(5) and (6), and (c) revised, eff. June 1, 1973","24338",37,1972
"226.7","(b)(3) corrected","5327",34,1969
"226.7","(e) revised","16919",35,1970
"226.7","(e) revised","4113",36,1971
"226.701","Redesignated from 226.105","7571",34,1969
"226.702","Added","7571",34,1969
"226.702","Removed, eff. June 1, 1973","24339",37,1972
"226.703","Added","7608",34,1969
"226.703","Revised","13246",37,1972
"226.704","Added","7608",34,1969
"226.704","Removed, eff. June 1, 1973","24339",37,1972
"226.705","Added","16646",36,1971
"226.706","Added","13247",37,1972
"226.707","Added","24339",37,1972
"226.8","(e)(2)(iii) corrected","5327",34,1969
"226.8","(o) revised","13410",34,1969
"226.8","(p) added","18242",34,1969
"226.801","Added","7571",34,1969
"226.802","Added","7608",34,1969
"226.803","Added","7608",34,1969
"226.804","Added","7608",34,1969
"226.805","Added","8699",34,1969
"226.806","Added","8699",34,1969
"226.807","Added","9615",34,1969
"226.808","Added","9616",34,1969
"226.809","Added","9616",34,1969
"226.810","Added","11083",34,1969
"226.811","Added","13301",34,1969
"226.811","Revised","2866",35,1970
"226.812","Added","18243",34,1969
"226.813","Added","2866",35,1970
"226.814","Added","2867",35,1970
"226.815","Added","2867",35,1970
"226.816","Added","2867",35,1970
"226.817","Added","5586",35,1970
"226.9","(b) and (c) revised","4113",36,1971
"226.9","(b) corrected","5327",34,1969
"226.9","(g)(4) revised","18242",34,1969
"226.9","Footnote 14 revised","19671",36,1971
"226.901","Added","8699",34,1969
"226.902","Added","8699",34,1969
"226.903","(a) corrected","12255",34,1969
"226.903","Added","11083",34,1969
"226.903","Revised","2863",35,1970
"250","Added; redesignated from 208.102-208.109, 208.111, 208.113-208.115, 208.118-208.121 and revised","9866",33,1968
"250.104","Added","25486",37,1972
"250.141","Revised","11813",33,1968
"250.162","Revised","5673",36,1971
"250.182","Added","11414",34,1969
"250.240","Added","10201",35,1970
"261","Revised","9516",32,1967
"261.2","(d)(2)(v) amended","12248",30,1965
"261.6","(b) amended","16973",35,1970
"262","Revised","11984",32,1967
"262.2","(f)(5) revised","4197",31,1966
"262.2","(f)(5)(ii) corrected","4390",31,1966
"262.2","(f)(7) revised","12248",30,1965
"262.3","(f)(1) and (4) revised","17329",36,1971
"262.3","(f)(1) revised","2989",33,1968
"262.3","(f)(4) revised","6574",35,1970
"262.6","Corrected","12743",32,1967
"263","Revised","11140",32,1967
"264","Added","3446",31,1966
"264","Revised","8655",33,1968
"265","Added; incorrectly designated as Part 264","8519",32,1967
"265","Correctly designated as Part 265","8956",32,1967
"265.1a","(a) and (b) revised","2384",35,1970
"265.1a","(a)(2) revised","14074",35,1970
"265.1a","(a)(4) added","15068",35,1970
"265.1a","(b) revised","11383",35,1970
"265.1a","Added","618",34,1969
"265.1a","Introductory text, (a), (b), and (c) redesignated as introductory text of (a) and (a)(1), (2), and (3), respectively; new (b) added","5998",35,1970
"265.2","(a) revised; (b)(4) added; (c)(10) revised; (c)(14), (15), and (16) added; (d)(3) and (f)(1), (2), and (7) revised; (f)(18) and (g) added","2384",35,1970
"265.2","(b)(5) added","14623",36,1971
"265.2","(c)(10) added","19159",32,1967
"265.2","(c)(12) added; introductory text of (d) revised; (d)(4) and (f)(15) added","1633",34,1969
"265.2","(c)(13) and (f)(17) added","14279",34,1969
"265.2","(c)(17) revised","4044, 7782",35,1970
"265.2","(c)(18) added","18373",36,1971
"265.2","(f) introductory text revised; (f)(25) added","23329",37,1972
"265.2","(f)(14) added","10330",33,1968
"265.2","(f)(16) added","5928",34,1969
"265.2","(f)(19); (20) and (21) added","10779",36,1971
"265.2","(f)(22) added","17329",36,1971
"265.2","(f)(22) revised","23535",37,1972
"265.2","(f)(22) revised; (f)(23) and (24) added","1034",37,1972
"265.2","(f)(7)(ii) corrected","8956",32,1967
"265.2","Heading and introductory text of (c) revised; (c)(11) added","618",34,1969
"269","Added","4610",35,1970
"269.5","(f) added","21989",37,1972
"271","Revised","9518",32,1967
"272.1","Revised","9520",32,1967
"272.3","Revised","9520",32,1967
"272.5","Repealed","9520",32,1967
"290-292","Subchapter C added","8919",35,1970
"294","Added","12102",35,1970
"294.110","(a) amended","13722",35,1970
"294.200","Revised","13722",35,1970
"204.5","(a) revised","13512",35,1970
"204.5","(c) revised","18658",35,1970
"204.1","(e)(1) revised","15903",35,1970
"204.1","(f) amended","13512",35,1970
"204.1","(f)(3) revised","10846",35,1970
"204.114","Correctly designated","8654",35,1970
"204.5","Heading revised","19661",35,1970
