"X","Part","Change","Page","FedReg_Number","Year"
86,"265.2","(a)(16) and (f)(28) introductory text revised","55203",42,1977
87,"265.2","(c)(25) added","60559",42,1977
88,"265.3","Corrected","2501",42,1977
89,"268","Added","28522",42,1977
90,"271.6","(a) revised","13299",42,1977
91,"281.2","Added","13300",42,1977
1,"201.51","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53707",43,1978
2,"201.52","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53708",43,1978
3,"201.53","Revised","4002, 21658, 31883, 38572, 45821, 50868, 53708",43,1978
4,"201.108","(d) amended","53709",43,1978
5,"201.11","Added","21434",43,1978
6,"202","Staff interpretations","11967, 30531, 32742, 39341",43,1978
7,"202.1","(d) revised","18540",43,1978
8,"202.1","(d)(2)(i) correctly revised","19644, 21318",43,1978
9,"202.2","(c)(1)(i) and (2)(iii) revised; (c)(3) added","11969",43,1978
10,"204.1","(f)(1) revised","1616, 19644",43,1978
11,"204.5","(c) amended","38688",43,1978
12,"204.5","(a)(1)(ii) and (2)(ii) revised","52202",43,1978
13,"205","Removed","53709",43,1978
14,"206.4","(h)(1) revised; eff. 1-29-79","60550",43,1978
15,"206.5","(c) (3), (4), (f)(5), (k), (1)(1), (3)(iv), (4), and (7) revised; eff. 1-29-79","60550",43,1978
16,"206.6","(e)(3) and (l) revised eff. 1-29-79","60552",43,1978
17,"206.42","Amended; eff. 1-29-79","60554",43,1978
18,"206.43","Revised; eff. 1-29-79","60555",43,1978
19,"206.46","Amended; eff. 1-29-79","60557",43,1978
20,"206.47","Amended; eff. 1-29-79","60559",43,1978
21,"206.51","Amended; eff. 1-29-79","60559",43,1978
22,"206.54","Added; eff. 1-29-79","60559",43,1978
23,"207","OTC margin stock list","14304, 45822",43,1978
24,"207","OTC margin stock list corrected","46957",43,1978
25,"207.5","(d)(2) and (e)(2) revised","20966",43,1978
26,"207.110","Added","30038",43,1978
27,"208.8","(e)(2) and (5) removed; (e)(3) and (4) redesignated as (e)(2) and (3); new (e)(3) revised; Appendix A added","18162",43,1978
28,"(e)(3)","and Appendix A revised","20784",43,1978
29,"211.7","(c) amended","55239",43,1978
30,"213.7","(a) and (b) amended","38688",43,1978
31,"215.2","(c)(5)(iv) revised","8506, 30039",43,1978
32,"215.5","Footnote 3 correctly designated as footnote 4","31883",43,1978
33,"217.1","(f)(1) revised","19644",43,1978
34,"217.4","(d) temporarily suspended in part","15408, 41015",43,1978
35,"(d)(3)","amended","58365",43,1978
36,"217.5","(c)(2) and (3) revised","20002",43,1978
37,"217.7","(b)(4) and (f) added; (d) and (e) revised","21436",43,1978
38,"(b)(4)","(d), (e), and (f) interpretation","24516",43,1978
39,"(b)(1)","introductory text revised","26425",43,1978
40,"217.154","Added","58365",43,1978
41,"220","OTC margin stock list","14304, 45822",43,1978
42,"OTC","margin stock list","46957",43,1978
43,"220.2","(f) revised; (i) added","43446",43,1978
44,"220.4","(f)(2)(ii) correctly revised","31002",43,1978
45,"220.4","(f) correctly designated","33899",43,1978
46,"220.4","(i) added","43446",43,1978
47,"220.8","(h)(2) and (i)(2) revised","20966",43,1978
48,"220.8","(b) revised","43446",43,1978
49,"221","OTC margin stock list","14304, 45822",43,1978
50,"221","OTC margin stock list corrected","46957",43,1978
51,"221.4","(d)(2) and (e)(2) revised","20966",43,1978
52,"221.115","Revised","30039",43,1978
53,"224","OTC margin stock list","14304, 45822",43,1978
54,"224","OTC margin stock list corrected","46957",43,1978
55,"225.4","(b)(1) and (2) revised","60262",43,1978
56,"225.5","(f) added","10332",43,1978
57,"225.139","Added","6214",43,1978
58,"225.139","(d) footnote 7 corrected","15147",43,1978
59,"225.139","(b), (c)(1) and (3), (d) and footnote 7 corrected","15321",43,1978
60,"226","Staff interpretations","3898",43,1978
61,"226","Staff interpretations","5357",43,1978
62,"226","Staff interpretations","8117",43,1978
63,"226","Staff interpretations","13055",43,1978
64,"226","Staff interpretations","15148",43,1978
65,"226","Staff interpretations","21321",43,1978
66,"226","Staff interpretations","26426",43,1978
67,"226","Staff interpretations","30532",43,1978
68,"226","Staff interpretations","32742",43,1978
69,"226","Staff interpretations","35026",43,1978
70,"226","Staff interpretations","38572",43,1978
71,"226","Staff interpretations","40211",43,1978
72,"226","Staff interpretations","41016",43,1978
73,"226","Staff interpretations","47719",43,1978
74,"226","Staff interpretations","47720",43,1978
75,"226","Staff interpretations","52695",43,1978
76,"226","Staff interpretations","52696",43,1978
77,"226","Staff interpretations","60263-60265",43,1978
78,"226","Staff interpretations corrected","36052, 54924",43,1978
79,"226","Staff interpretations republished and effective date suspended","43018, 55746",43,1978
80,"226","Staff interpretations; eff. 1-4-79","56877",43,1978
81,"226.1","(d) revised","18540",43,1978
82,"226.6","(b)(3) Supplement VI added","21319",43,1978
83,"226.6","(i) revised","22928",43,1978
84,"226.7","(k)(3)(ii) text revised; footnote unaffected","4419",43,1978
85,"226.7","(k)(3)(ii) corrected","7979",43,1978
86,"226.7","(a)(4) footnote 6a redesignated as footnote 6b","22929",43,1978
87,"226.8","(a) amended","38813, 49529",43,1978
88,"226.9","(g)(6) added","34113",43,1978
89,"226.12","Supplement VI added","21319",43,1978
90,"226.12","Supplement III amended","49973",43,1978
91,"226.503","(a) added","38814",43,1978
92,"226.904","Added","34113",43,1978
93,"226.904","Amended","50673",43,1978
94,"228","Added","47148",43,1978
95,"250.141","(f) and (g) corrected","53414",43,1978
96,"261b.2","(h) added","34481",43,1978
97,"261b.7","(a) amended","34481",43,1978
98,"262.3","(b) through (h) redesignated as (c) through (k); new (b) added; eff. 11-6-78","47157",43,1978
99,"262.3","(i) added; (g)(5) removed; eff. 10-19-78","49973",43,1978
100,"262.3","(d) through (h) redesignated as (e) through (j); new (d) added; eff. 10-19-78","49974",43,1978
101,"264a","Added","7611",43,1978
102,"264a","Revised","24668",43,1978
103,"265.1a","(c) added","34482",43,1978
104,"265.2","(f) introductory text revised and (37) added","4254",43,1978
105,"265.2","(h)(2) revised","21322",43,1978
106,"265.2","(b)(7) added","49974",43,1978
107,"265.2","(b)(7) revised","52203",43,1978
108,"265.2","(f)(20) revised","60262",43,1978
109,"265.2","(d) introductory text revised; (d)(3) through (5) added; (j) removed","60266",43,1978
1,"201.51","Revised","45116, 57385, 51191, 60717",44,1979
2,"201.52","Revised","45116, 57385, 51191, 60717",44,1979
3,"201.53","Revised","45116, 51191, 57385, 60717",44,1979
4,"202","Staff interpretations","37600, 44830",44,1979
5,"202.2","(l) revised","23814",44,1979
6,"202.1104","Added","57070",44,1979
7,"204.5","(d) and (e) added","10499",44,1979
8,"204.6","(a) introductory text amended; (b) revised; (f) added","60074",44,1979
9,"205","Added","18480",44,1979
10,"205.2","(i) amended; (j) and (k) redesignated as (k) and (l); new (j) added; new (l)(3) revised; eff. 5-10-80","59470",44,1979
11,"205.3","Introductory text, (c) and (d) revised","59470",44,1979
12,"205.4","Redesignated as 205.5; new 205.4 added; eff. 5-10-80","59470",44,1979
13,"205.5","(a) revised","33839",44,1979
14,"205.5","(c) amended","46434",44,1979
15,"205.5","Redesignated as 205.6; new 205.5 redesignated from 205.4; new (b)(2) revised and (d) removed; eff. in part 5-10-80","59470",44,1979
16,"205.6","Redesignated from 205.5; new (a)(3)(i) and (b) revised","59470",44,1979
17,"205.7","Added; eff. 5-10-80","59470",44,1979
18,"205.8","Added; eff. 5-10-80","59471",44,1979
19,"205.1","Added; eff. 5-10-80","59471",44,1979
20,"205.12","Added; eff. 5-10-80","59471",44,1979
21,"205.13","Added; eff. 5-10-80","59472",44,1979
22,"206.4","(h)(3), (4), and (5) revised; (h)(6), (7), and (8) added","67981",44,1979
23,"206.5","(l) revised; (k)(5) added","67964",44,1979
24,"206.41","Form F-1 amended","67964",44,1979
25,"206.42","Form F-2 amended","67965",44,1979
26,"206.43","Form F-3 amended","67965",44,1979
27,"206.44","Form F-4 amended","67965",44,1979
28,"206.47","Form F-11 amended","67966",44,1979
29,"206.48","Form F-11A amended","67967",44,1979
30,"206.51","Form F-5 amended","67968",44,1979
31,"206.64","Heading correctly added","5391",44,1979
32,"207","OTC margin stock list","20066, 56922",44,1979
33,"208.8","(k) added","43258",44,1979
34,"208.8","(k)(4) intro text, (4)(i), (4)(iii), (5)(iv), and (6)(i) revised","76482",44,1979
35,"211","Removed","36012",44,1979
36,"211","Added","36007",44,1979
37,"211.5","(b)(3) revised","70708",44,1979
38,"211.6","(b)(1)(ii) corrected","42152",44,1979
39,"211.7","(e)(2) and (3) corrected","37603",44,1979
40,"212","Revised","42156",44,1979
41,"213","Removed","36012",44,1979
42,"215","Revised","12964",44,1979
43,"215.1-215.11 (Subpart A)","Heading added","67978",44,1979
44,"215.1","Revised","67978",44,1979
45,"215.2","Heading and introductory text revised","67979",44,1979
46,"215.9","Heading revised","67979",44,1979
47,"215.10","Revised","67979",44,1979
48,"215.11","Added","67979",44,1979
49,"215.20-215.23 (Subpart B)","Added","67979",44,1979
50,"217.1","(f)(2) revised","46438",44,1979
51,"217.3","(a) amended","46437",44,1979
52,"217.4","(d) temporarily suspended in part","28302, 31007",44,1979
53,"217.4","(d) introductory text and (e) revised","32648",44,1979
54,"217.4","(d) temporarily suspended in part","34098",44,1979
55,"217.4","(d) revised","46435",44,1979
56,"217.4","(d) temporarily suspended in part","46436, 47535, 55552, 61171",44,1979
57,"217.6","(j) added","10361",44,1979
58,"217.6","(e) revised","32648",44,1979
59,"217.7","(f) amended","16361",44,1979
60,"217.7","(b) through (f) revised; (g) added","32648",44,1979
61,"217.7","(b) revised","46437",44,1979
62,"217.7","(b), (f), and (g) revised","75623",44,1979
63,"217.137","(a) revised","60076",44,1979
64,"217.155","Added","32353",44,1979
65,"219","Removed","12989",44,1979
66,"219","Added","55813",44,1979
67,"220","OTC margin stock list","20066, 56922",44,1979
68,"221","OTC margin stock list","20066, 56922",44,1979
69,"224","OTC margin stock list","56922",44,1979
70,"225","Heading revised","7121",44,1979
71,"225.1","Revised","7121",44,1979
72,"225.1","(c) correctly revised","64398, 65731",44,1979
73,"225.1","(c) revised","69629",44,1979
74,"225.4","(a)(13) added","12019",44,1979
75,"225.4","(f) removed","36012",44,1979
76,"225.4","(g)(3) revised","64399",44,1979
77,"225.4","Heading and (a)(9)(iii) revised","65052",44,1979
78,"225.7","Added","7121",44,1979
79,"226.4","(i)(4) revised","12970",44,1979
80,"226.5","(a) amended; (b) and (c) revised; eff. 1-10-80","77144",44,1979
81,"226.5","(a) amended; (b) through (e) removed; eff. 10-1-80","77144",44,1979
82,"226.8","(r) and (s) added; eff. 1-10-80","77145",44,1979
83,"226.9","(g)(6) removed; eff. 3-31-80","55554",44,1979
84,"226.40-226.80","Supplements I through VI; inclusion in CFR","7942",44,1979
85,"226.40-226.80","Supplements I through VI; correction","11749",44,1979
86,"226.40","(Supplement I) revised; eff. 1-10-80","77145",44,1979
87,"226.502","Removed; eff. 1-10-80","77144",44,1979
88,"226.503","Removed; eff. 1-10-80","77144",44,1979
89,"226.505","Removed; eff. 1-10-80","77144",44,1979
90,"226.705","(a) and (b) amended","42165",44,1979
91,"226.705","Corrected","44831",44,1979
92,"226.707","(a) and (b) amended","42165",44,1979
93,"226.707","Corrected","44831",44,1979
94,"226.904","Removed; eff. 3-31-80","55554",44,1979
95,"226","Staff interpretations","768",44,1979
96,"226","Staff interpretations republished and effective date suspended","3257",44,1979
97,"226","Staff interpretations corrected","5391",44,1979
98,"226","Staff interpretations","15474, 15475",44,1979
99,"226","Staff interpretation effective date suspended","23814",44,1979
100,"226","Staff interpretations","37603, 41760, 46439, 50326",44,1979
101,"226","Staff interpretations republished and effective date suspended","50809, 54291",44,1979
102,"226","Staff interpretation removed; eff. 3-31-80","55554",44,1979
103,"226","Staff interpretations","55554, 56312, 61587, 69630",44,1979
104,"228.3","(b) amended; (c) added","18165",44,1979
105,"250.300–250.302","Undesignated center heading added","12969",44,1979
106,"250.300","Added","12969",44,1979
107,"250.301","Added","12969",44,1979
108,"250.302","Added","12970",44,1979
109,"261b.4","Revised","11750",44,1979
110,"261b.8","(f) added","11750",44,1979
111,"262.2","Policy statement","3957",44,1979
112,"262.3","(c) revised; (k)(5) removed","64399",44,1979
113,"263","Heading revised","56687",44,1979
114,"263.1–263.21 (Subpart A)","Heading revised","56687",44,1979
115,"263.1","Revised","56687",44,1979
116,"263.2","Revised","56687",44,1979
117,"263.3","(b) revised","56687",44,1979
118,"263.6","(a) revised; (h) added","56688",44,1979
119,"263.7","(c) and (d) revised","56688",44,1979
120,"263.8","(c) revised","56688",44,1979
121,"263.22–263.29 (Subpart B)","Revised","56689",44,1979
122,"263.30–263.34 (Subpart C)","Revised","56690",44,1979
123,"264b","Added","64399",44,1979
124,"265.2","(f) introductory text revised","1725",44,1979
125,"265.2","(f)(38) added","7121",44,1979
126,"265.2","(b)(8), (d)(6) through (8), and (f)(39) through (50) added; (e) removed; (d)(1), (2), and (5), and (f)(25) and (34) revised","23816",44,1979
127,"265.2","(a)(18) revised","28301",44,1979
128,"265.2","(f)(51) through (56) added","38448",44,1979
129,"265.2","(a)(2), (f)(20) and (f)(22) introductory text correctly revised; (a)(3) through (7), (c)(16), and (f)(23), (24), (28) through (33) and (52), and footnotes 2 through 12 correctly removed","56314, 59227",44,1979
130,"265.2","(a)(8) through (18), (c)(17) through (25) and (f)(25), (26), (27), (34) through (51) and (53) through (56) correctly redesignated as (a)(3) through (13), (c)(16) through (24) and (f)(23) through (47)","56314, 59227",44,1979
131,"265.2","(f) introductory text revised","64399",44,1979
132,"265.2","(c)(25) added","70708",44,1979
133,"272.3","(d) and (e) revised","52823",44,1979
1,"201","Revised","54010",45,1980
2,"201.1","Revised","19220",45,1980
3,"201.51","Revised","12774, 40108, 41629, 52144, 67055, 78624, 82624",45,1980
4,"201.52","Revised","12774, 40108, 41629, 52144, 67055, 78624, 82624",45,1980
5,"201.53","Revised","12775, 40108, 41630, 52144, 67056, 78624, 82624",45,1980
6,"202","Staff interpretations","16999",45,1980
7,"202.1104","Suspended","3567",45,1980
8,"202.1104","Technical correction","9259",45,1980
9,"203.4","(d) added","80814",45,1980
10,"203.5","(d) and (e) added","80814",45,1980
11,"204","Revised","56018",45,1980
12,"204","Added","19220",45,1980
13,"204.1","(b) and (g) amended; (k) and (l) added","19220",45,1980
14,"204.2","(b) revised","19220",45,1980
15,"204.2","(h)(1)(i)(B) and (ii)(B) revised","73015",45,1980
16,"204.2","(h) revised","79749",45,1980
17,"204.2","(b)(1)(vii) and (e)(6) amended","81537",45,1980
18,"204.3","(e) and (f) added","19220",45,1980
19,"204.3","(i) added","58100",45,1980
20,"204.3","(d) heading, (1) and (3) revised","73015",45,1980
21,"204.3","(a) introductory text, (1)(ii), and (2)(ii) amended","81537",45,1980
22,"204.4","(g) revised","73015",45,1980
23,"204.4","(b)(1)(ii), (2) introductory text, (2)(ii), and (g)(2)(iv) amended","81537",45,1980
24,"204.5","(f)(1) introductory text and (2) introductory text revised; (f)(3) added","17925",45,1980
25,"204.5","(a) introductory text and (e) amended; (d) revised","19220",45,1980
26,"204.5","(f) revised","37411",45,1980
27,"204.5","(f)(3)(i)(B) corrected","39495",45,1980
28,"204.5","(a)(1)(ii) and (2)(ii) amended; (f) removed","46063",45,1980
29,"204.5","(a)(1)(ii) and (2)(ii) revised","58821",45,1980
30,"204.6","(b)(1) amended","81537",45,1980
31,"204.120","Added","28305",45,1980
32,"204.121","Added","69879",45,1980
33,"205.2","Heading revised; (g) amended; (m) added","8263",45,1980
34,"205.3","(d)(4) added","66347",45,1980
35,"205.4","(c) and (d) redesignated as (b) and (c)","8263",45,1980
36,"205.5","(a)(3) revised","8263",45,1980
37,"205.7","(a) introductory text revised","8263",45,1980
38,"205.8","(a) amended","8264",45,1980
39,"205.9","Added","8264",45,1980
40,"205.9","(b)(1)(iv) amended; (b)(3) revised; (f), (g), and footnote 4a added","25383",45,1980
41,"205.9","(a)(3) footnote 3 amended","31706",45,1980
42,"205.9","(a)(3) footnote 3, (b)(1)(iv)(A) footnote 5, and (b)(1)(v) revised","66347",45,1980
43,"205.10","(a) added","8265",45,1980
44,"205.11","Added","8265",45,1980
45,"205.13","(b)(2)(i) amended; (b)(4) and (c)(2) revised","8266",45,1980
46,"205.14","Added","8266",45,1980
47,"205 Appendix","A amended","8267",45,1980
48,"206.7","Revised","65184",45,1980
49,"206.71","Revised","65189",45,1980
50,"207","OTC margin stock list","24107, 66779",45,1980
51,"207.111","Added","44256",45,1980
52,"210","Revised","68634",45,1980
53,"211.1–211.7","Designated as Subpart A","67058",45,1980
54,"211.4","(d) revised","19221",45,1980
55,"211.5","(c)(1)(ii) revised; (c)(1)(iii) redesignated as (c)(1)(iv); new (c)(1)(iii) added","76095",45,1980
56,"211.21–211.22 (Subpart B)","Added","67058",45,1980
57,"211.23","Added; eff. 1-3-81","81540",45,1980
58,"211.601","Added","67309",45,1980
59,"212","Revised","24389",45,1980
60,"217.0","(c) revised; (d) added","19221",45,1980
61,"217.1","(h) added","17927",45,1980
62,"217.1","(i) and (j) added","19221",45,1980
63,"217.1","(c)(1), (2), (3), (d), and (e)(2) amended","73016",45,1980
64,"217.4","(d) temporarily suspended in part","36054, 37686, 41124, 55693",45,1980
65,"217.5","(c)(2) amended","73016",45,1980
66,"217.7","(g) revised","13469",45,1980
67,"217.7","(h) added","17927",45,1980
68,"217.9","(b) and (h) amended","73016",45,1980
69,"217.156","Added","72630",45,1980
70,"220","OTC margin stock list","24107, 66779",45,1980
71,"220.2","(f) revised","53453",45,1980
72,"220.3","(b)(1)(i) and (ii), (e), and (g)(3) amended; (f) revised","15920",45,1980
73,"220.3","(d)(5) and (i) suspension rescinded","40969",45,1980
74,"220.4","(c)(6) revised; (c)(7) and (h)(2) amended","15920",45,1980
75,"220.4","(g) revised","40967",45,1980
76,"221","OTC margin stock list","24107, 66779",45,1980
77,"224","OTC margin stock list","24107",45,1980
78,"225.4","(a)(14) added","79750",45,1980
79,"225.4","(g) revised; eff. 1-3-81","81540",45,1980
80,"225.139","(c)(4) added; footnote 4 removed; footnotes 5 through 7 redesignated as footnotes 4 through 6","8280",45,1980
81,"225.139","(c)(4) corrected","11125",45,1980
82,"225.14","Added","49905",45,1980
83,"225.141","Added","54326",45,1980
84,"225.142","Added","61595",45,1980
85,"226.3","(e) amended","33599",45,1980
86,"226.5","(a) heading and introductory text, (b) and (c) corrected; effective date clarified","4345",45,1980
87,"226.5","(b)(1) amended","4345",45,1980
88,"226.5","(d) added","50325",45,1980
89,"226.5","(a) amendment and (b) through (e) compliance date deferred to 4-1-82","56796",45,1980
90,"226.8","(r) and (s) effective date clarified","4345",45,1980
91,"226.8","(n) correctly removed","33599, 35802",45,1980
92,"226.9","(g)(6) removal stayed","14539, 33600",45,1980
93,"226.4","Revised","4345",45,1980
94,"226.502","Correctly removed; effective date clarified","4345",45,1980
95,"226.502","Compliance date deferred to 4-1-82","56796",45,1980
96,"226.503","Removal effective date clarified","4345",45,1980
97,"226.503","Compliance date deferred to 4-1-82","56796",45,1980
98,"226.505","Removal effective date clarified","4345",45,1980
99,"226.505","Designation corrected","8000",45,1980
100,"226.505","Compliance date deferred to 4-1-82","56796",45,1980
101,"226.904","Removal stayed","14539, 33600",45,1980
102,"226","Staff interpretations","3879, 9259, 10329, 46064, 62976",45,1980
103,"226","Staff interpretation withdrawn","13051",45,1980
104,"226","Staff interpretation republished and effective date suspended","13436",45,1980
105,"226","Staff interpretation removal stayed","14539, 33600",45,1980
106,"226","Staff interpretations republished and effective date suspended","20771",45,1980
107,"226","Supplement I compliance date deferred to 4-1-82","56796",45,1980
108,"229.1","Added","17929",45,1980
109,"229.1--229.6 (Subpart A)","Removed; eff. 10-31-80","46065",45,1980
110,"229.2","(b) revised","24843",45,1980
111,"229.3","(a) revised","24843",45,1980
112,"229.3","Removed","46065",45,1980
113,"229.4","(a) revised","24843",45,1980
114,"229.4","(a) amended","37413",45,1980
115,"229.4","Removed","46065",45,1980
116,"229.6","Added","24445",45,1980
117,"229.6","(a) and (b)(1) revised","26319",45,1980
118,"229.6","(d) added","46065",45,1980
119,"229.11-229.15 (Subpart B)","Added","17931",45,1980
120,"229.11-229.15 (Subpart B)","Revised","23644",45,1980
121,"229.11-229.15 (Subpart B)","Removed","46337",45,1980
122,"229.11-229.15 (Subpart B)","Removal eff. 7-28-80","50718",45,1980
123,"229.14","(a)(1) and (b) amended","37415",45,1980
124,"229.21-229.25 (Subpart C)","Added","17934",45,1980
125,"229.21-229.25 (Subpart C)","Removed","46338",45,1980
126,"229.24","Revised","37414",45,1980
127,"229.24","(b)(1)(ii) corrected","39495",45,1980
128,"229.31-229.35 (Subpart D)","Added","22884",45,1980
129,"229.31-229.35 (Subpart D)","Removed","46065",45,1980
130,"229.33--229.34","Revised","37412",45,1980
131,"245","Redesignated from 32A Part 1505","44574",45,1980
132,"250.182","Revised","45257",45,1980
133,"262.3","(b)(1) revised; eff. 2-1-81","81544",45,1980
134,"262.25","Added; eff. 2-1-81","81542",45,1980
135,"265.1a","(c) amended","34869",45,1980
136,"265.2","(f)(48) added","24448",45,1980
137,"265.2","(c)(26) added","46338",45,1980
138,"265.2"," (h) Introductory text revised; (h)(4) added","54012",45,1980
1,"201.51","Revised","27090",46,1981
2,"201.51","Amended","50782",46,1981
3,"201.51","Effective date corrected","55237",46,1981
4,"201.51","Amended","55237",46,1981
5,"201.51","Revised","56409",46,1981
6,"201.51","Amended","60190",46,1981
7,"201.51","Revised","61249",46,1981
8,"201.52","Revised","27090",46,1981
9,"201.52","(b) revised","48120",46,1981
10,"201.52","Revised","58409, 61249",46,1981
11,"201.53","Revised","27090",46,1981
12,"203","Revised","40683",46,1981
13,"204.2","(f)(2) revised","22178",46,1981
14,"204.2","(t) added","27092",46,1981
15,"204.2","(h) revised","32428",46,1981
16,"204.2","(t) footnote 1 redesignated as footnote 2","32429",46,1981
17,"204.3","(d)(2) revised","10140",46,1981
18,"204.3","(a) introductory text, (1)(ii), (2)(ii), and (c) amended","32430",46,1981
19,"204.4","(b)(1) introductory text and (ii), (2) introductory text and (ii), (d), and (g)(2)(ii)(A) and (B) and (iii) amended","32430",46,1981
20,"204.4","(e) revised; temporary","57667",46,1981
21,"204.4","(f) revised","57668",46,1981
22,"204.8","Redesignated as 204.9; new 204.8 added","32429",46,1981
23,"204.9","Redesignated from 204.8","32429",46,1981
24,"204.9","(a) revised","62054",46,1981
25,"204.122","Added","62812",46,1981
26,"205","Staff interpretation—19217, 46876; Staff interpretation amended","60190",46,1981
27,"205.3","(d)(2) and (3) revised; footnote 1a added","2973",46,1981
28,"205.3","(d)(3) corrected","9920",46,1981
29,"205.5","Footnote 1 redesignated as footnote 1b","2973",46,1981
30,"206.3","Heading revised; (d) added","11238",46,1981
31,"206.5","(b)(5) and (e)(6) added; (a), (b) introductory text, (c)(1) introductory text, and (5), (d), (g)(1)(i) and (ii), (2)(ii) and (iii), and (3), (h)(1), (i)(3)(i), (ii), and (iii), and (6) and (k)(1) through (4) revised; (c)(2) amended","11238",46,1981
32,"206.5","(l) and (m) removed","11242",46,1981
33,"206.5","(c)(2) correctly amended; technical correction","16099",46,1981
34,"206.5","(d)(3) through (6) correctly added","21747",46,1981
35,"206.6","(j) through (u) redesignated as (k) through (v); new (j) added","11242",46,1981
